source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
002b7fa9-5f94-e511-814c-000c2902c387	Tibrovirus congo	RG4	1987017	Tibrovirus congo	Bas-Congo tibrovirus
002b7fa9-5f94-e511-814c-000c2902c387	Tibrovirus congo	RG4	1987017	Tibrovirus congo	Bas-Congo virus
007bb776-c012-e611-80f7-0050568252cc	Alphainfluenzavirus influenzae H5N6	RG3	329376	H5N6 subtype	Alphainfluenzavirus influenzae H5N6
00f2fa38-6094-e511-814c-000c2902c387	Tindholmur virus	RG2	3459245	Tindholmur virus	Tindholmur virus
01500c27-6094-e511-814c-000c2902c387	Orthoflavivirus saboyaense	RG2	3048308	Orthoflavivirus saboyaense	Saboya virus
021350e5-5f94-e511-814c-000c2902c387	Orthoflavivirus israelense	RG3	3048154	Orthoflavivirus israelense	Israel turkey meningoencephalomyelitis virus
021350e5-5f94-e511-814c-000c2902c387	Orthoflavivirus israelense	RG3	64291	Israel turkey meningoencephalomyelitis virus	Israel turkey meningoencephalitis virus
03504a8c-2280-eb11-814a-0050568253d3	Sprivivirus cyprinus	RG1	696863	Sprivivirus cyprinus	Carp sprivivirus
03504a8c-2280-eb11-814a-0050568253d3	Sprivivirus cyprinus	RG1	696863	Sprivivirus cyprinus	Rhabdovirus carpio
03504a8c-2280-eb11-814a-0050568253d3	Sprivivirus cyprinus	RG1	696863	Sprivivirus cyprinus	Spring viraemia of carp virus
03504a8c-2280-eb11-814a-0050568253d3	Sprivivirus cyprinus	RG1	696863	Sprivivirus cyprinus	Spring viremia of carp virus
037c5b2f-b3bc-ef11-817d-0050568252cc	Alphainfluenzavirus influenzae H5N9	RG3	140020	H5N9 subtype	Alphainfluenzavirus influenzae H5N9
051b1221-6094-e511-814c-000c2902c387	Leporipoxvirus shope	RG1	3430368	Leporipoxvirus shope	Leporipoxvirus shope
051b1221-6094-e511-814c-000c2902c387	Leporipoxvirus shope	RG1	3430368	Leporipoxvirus shope	Shope fibroma virus
05b734fd-5f94-e511-814c-000c2902c387	Hapavirus manitoba	RG2	1972619	Hapavirus manitoba	Manitoba hapavirus
05b734fd-5f94-e511-814c-000c2902c387	Hapavirus manitoba	RG2	1972619	Hapavirus manitoba	Manitoba virus
061e5fd9-5f94-e511-814c-000c2902c387	Hepatitis delta virus	RG2	12475	Hepatitis delta virus	Hepatitis D virus
065cf33e-6094-e511-814c-000c2902c387	Avipoxvirus turkeypox	RG1	3426554	Avipoxvirus turkeypox	Avipoxvirus turkeypox
06985cd3-5f94-e511-814c-000c2902c387	Orthohantavirus hantanense	RG3	3052480	Orthohantavirus hantanense	Hantaan orthohantavirus
06985cd3-5f94-e511-814c-000c2902c387	Orthohantavirus hantanense	RG3	3052480	Orthohantavirus hantanense	Hantaan virus
06ffac60-fee3-e711-8113-0050568253d3	Betabaculovirus adoranae	RG1	3047349	Betabaculovirus adoranae	Adoxophyes orana granulovirus
070b1b78-b513-e611-80f8-0050568253d3	Dependoparvovirus anseriform1	RG1	1511895	Dependoparvovirus anseriform1	Anseriform dependoparvovirus 1
070b1b78-b513-e611-80f8-0050568253d3	Dependoparvovirus anseriform1	RG1	1511895	Dependoparvovirus anseriform1	Goose parvovirus
0765c160-b2e1-e711-8113-0050568253d3	Alphabaculovirus helarmigerae	RG1	3047947	Alphabaculovirus helarmigerae	Helicoverpa armigera nucleopolyhedrovirus
0812a4c4-03ac-ef11-817c-0050568253d3	Alphainfluenzavirus influenzae H11N2	RG2	286294	H11N2 subtype	Alphainfluenzavirus influenzae H11N2
084f0c27-6094-e511-814c-000c2902c387	Rous-associated virus	RG2	11865	Rous-associated virus	Rous-associated virus
084f0c27-6094-e511-814c-000c2902c387	Rous-associated virus	RG2	11950	Rous-associated virus type 1	Avian retrovirus RAV-1
08b934fd-5f94-e511-814c-000c2902c387	Morbillivirus hominis	RG2	3052345	Morbillivirus hominis	Measles morbillivirus
08b934fd-5f94-e511-814c-000c2902c387	Morbillivirus hominis	RG2	3052345	Morbillivirus hominis	Measles virus
08b934fd-5f94-e511-814c-000c2902c387	Morbillivirus hominis	RG2	3052345	Morbillivirus hominis	Rubeola virus
08c26dbb-5f94-e511-814c-000c2902c387	Quwivirus caviidbeta2	RG1	3050254	Quwivirus caviidbeta2	Caviid betaherpesvirus 2
08c26dbb-5f94-e511-814c-000c2902c387	Quwivirus caviidbeta2	RG1	3050254	Quwivirus caviidbeta2	Guinea pig cytomegalovirus
08c26dbb-5f94-e511-814c-000c2902c387	Quwivirus caviidbeta2	RG1	3050254	Quwivirus caviidbeta2	Guinea pig herpesvirus
08c26dbb-5f94-e511-814c-000c2902c387	Quwivirus caviidbeta2	RG1	3050254	Quwivirus caviidbeta2	Guinea pig x virus
091f072d-6094-e511-814c-000c2902c387	Orthohantavirus seoulense	RG3	3052498	Orthohantavirus seoulense	Seoul hantavirus
091f072d-6094-e511-814c-000c2902c387	Orthohantavirus seoulense	RG3	3052498	Orthohantavirus seoulense	Seoul orthohantavirus
091f072d-6094-e511-814c-000c2902c387	Orthohantavirus seoulense	RG3	3052498	Orthohantavirus seoulense	Seoul virus
099c60cd-5f94-e511-814c-000c2902c387	Mammarenavirus flexalense	RG3	3052305	Mammarenavirus flexalense	Flexal mammarenavirus
099c60cd-5f94-e511-814c-000c2902c387	Mammarenavirus flexalense	RG3	3052305	Mammarenavirus flexalense	Flexal virus
09e6e44a-6094-e511-814c-000c2902c387	Zegla orthobunyavirus	RG2	2170060	Zegla orthobunyavirus	Zegla orthobunyavirus
0a8e7ce5-34bf-e711-810f-0050568253d3	Rhadinovirus atelinegamma3	RG2	3050140	Rhadinovirus atelinegamma3	Ateline gammaherpesvirus 3
0c37280f-6094-e511-814c-000c2902c387	Mammarenavirus oliverosense	RG3	3052322	Mammarenavirus oliverosense	Oliveros arenavirus
0c37280f-6094-e511-814c-000c2902c387	Mammarenavirus oliverosense	RG3	3052322	Mammarenavirus oliverosense	Oliveros mammarenavirus
0c37280f-6094-e511-814c-000c2902c387	Mammarenavirus oliverosense	RG3	3052322	Mammarenavirus oliverosense	Oliveros virus
0c863203-6094-e511-814c-000c2902c387	Gammaretrovirus momursar	RG1	3428958	Gammaretrovirus momursar	Gammaretrovirus momursar
0c863203-6094-e511-814c-000c2902c387	Gammaretrovirus momursar	RG1	3428958	Gammaretrovirus momursar	Murine sarcoma virus
0d5a8c90-de85-e811-8123-0050568253d3	Gammaretrovirus murleu	RG1	3428959	Gammaretrovirus murleu	Gammaretrovirus murleu
0ec46dbb-5f94-e511-814c-000c2902c387	Mastadenovirus simiae	RG2	3241447	Mastadenovirus simiae	Mastadenovirus simiae
0ec46dbb-5f94-e511-814c-000c2902c387	Mastadenovirus simiae	RG2	3241447	Mastadenovirus simiae	Simian adenovirus A
0ee03cf7-5f94-e511-814c-000c2902c387	Lymphocystivirus platichthys1	RG1	3430560	Lymphocystivirus platichthys1	Lymphocystivirus platichthys1
0ee13cf7-5f94-e511-814c-000c2902c387	Macrobrachium rosenbergii nodavirus	RG1	222557	Macrobrachium rosenbergii nodavirus	MrNV
0ee13cf7-5f94-e511-814c-000c2902c387	Macrobrachium rosenbergii nodavirus	RG1	222557	Macrobrachium rosenbergii nodavirus	White tail disease virus
0f0fa0dc-9b7a-ea11-813f-0050568253d3	Ostreavirus ostreidmalaco1	RG1	3050331	Ostreavirus ostreidmalaco1	Ostreid herpesvirus 1
0f0fa0dc-9b7a-ea11-813f-0050568253d3	Ostreavirus ostreidmalaco1	RG1	3050331	Ostreavirus ostreidmalaco1	Oyster herpesvirus
0f9e60cd-5f94-e511-814c-000c2902c387	Capripoxvirus goatpox	RG1	3427717	Capripoxvirus goatpox	Capripoxvirus goatpox
101c1221-6094-e511-814c-000c2902c387	Vesiculovirus radi	RG3	1972566	Vesiculovirus radi	Radi vesiculovirus
101c1221-6094-e511-814c-000c2902c387	Vesiculovirus radi	RG3	1972566	Vesiculovirus radi	Radi virus
111050e5-5f94-e511-814c-000c2902c387	Vesiculovirus indiana	RG2	1972577	Vesiculovirus indiana	Indiana vesiculovirus
111050e5-5f94-e511-814c-000c2902c387	Vesiculovirus indiana	RG2	1972577	Vesiculovirus indiana	Indiana virus
111050e5-5f94-e511-814c-000c2902c387	Vesiculovirus indiana	RG2	1972577	Vesiculovirus indiana	Vesicular stomatitis Indiana virus
114d988e-02e4-e711-8113-0050568253d3	Betabaculovirus pluxylostellae	RG1	3048276	Betabaculovirus pluxylostellae	Plutella xylostella granulovirus
11d10df9-231e-e811-8116-0050568253d3	Metaavulavirus delawarense	RG1	3051374	Metaavulavirus delawarense	Avian avulavirus 8
11d10df9-231e-e811-8116-0050568253d3	Metaavulavirus delawarense	RG1	3051374	Metaavulavirus delawarense	Avian paramyxovirus 8
11f856df-5f94-e511-814c-000c2902c387	Bocaparvovirus primate1	RG2	3052040	Bocaparvovirus primate1	Human bocavirus 1
11f856df-5f94-e511-814c-000c2902c387	Bocaparvovirus primate1	RG2	3052040	Bocaparvovirus primate1	Primate bocaparvovirus 1
12ab899d-5f94-e511-814c-000c2902c387	Orbivirus alphaequi	RG1	40050	Orbivirus alphaequi	African horse sickness virus
1364e1f2-241e-e811-8116-0050568253d3	Orthoavulavirus italiense	RG2	3051376	Orthoavulavirus italiense	Avian avulavirus 12
1364e1f2-241e-e811-8116-0050568253d3	Orthoavulavirus italiense	RG2	3051376	Orthoavulavirus italiense	Avian orthoavulavirus 12
1364e1f2-241e-e811-8116-0050568253d3	Orthoavulavirus italiense	RG2	3051376	Orthoavulavirus italiense	Avian paramyxovirus 12
13c9eb44-6094-e511-814c-000c2902c387	Orbivirus gammamitchellense	RG2	3431247	Orbivirus gammamitchellense	Orbivirus gammamitchellense
149d60cd-5f94-e511-814c-000c2902c387	Orthoflavivirus gadgetsense	RG3	3047837	Orthoflavivirus gadgetsense	Gadgets Gully virus
14c3fba1-9ee1-e711-8113-0050568253d3	Alphabaculovirus chomurinanae	RG1	3047751	Alphabaculovirus chomurinanae	Choristoneura murinana nucleopolyhedrovirus
153847eb-5f94-e511-814c-000c2902c387	Betapolyomavirus tertihominis	RG2	1891764	Betapolyomavirus tertihominis	Human polyomavirus 3
153847eb-5f94-e511-814c-000c2902c387	Betapolyomavirus tertihominis	RG2	1891764	Betapolyomavirus tertihominis	Human polyomavirus KIV
153847eb-5f94-e511-814c-000c2902c387	Betapolyomavirus tertihominis	RG2	1891764	Betapolyomavirus tertihominis	KI polyomavirus
156f2a09-6094-e511-814c-000c2902c387	Alphavirus ndumu	RG3	3426310	Alphavirus ndumu	Alphavirus ndumu
15cbeb44-6094-e511-814c-000c2902c387	Yacaaba virus	RG3	1819307	Yacaaba virus	Yacaaba virus
162b7fa9-5f94-e511-814c-000c2902c387	Orthobunyavirus batamaense	RG3	3052372	Orthobunyavirus batamaense	Batama orthobunyavirus
162b7fa9-5f94-e511-814c-000c2902c387	Orthobunyavirus batamaense	RG3	3052372	Orthobunyavirus batamaense	Batama virus
165bf33e-6094-e511-814c-000c2902c387	Alphapolyomavirus octihominis	RG2	1891727	Alphapolyomavirus octihominis	Human polyomavirus 8
165bf33e-6094-e511-814c-000c2902c387	Alphapolyomavirus octihominis	RG2	1891727	Alphapolyomavirus octihominis	Human polyomavirus TSPyV
165bf33e-6094-e511-814c-000c2902c387	Alphapolyomavirus octihominis	RG2	1891727	Alphapolyomavirus octihominis	Trichodysplasia spinulosa-associated polyomavirus
16ba34fd-5f94-e511-814c-000c2902c387	Protoparvovirus carnivoran1	RG1	3052707	Protoparvovirus carnivoran1	Canine parvovirus
16ba34fd-5f94-e511-814c-000c2902c387	Protoparvovirus carnivoran1	RG1	3052707	Protoparvovirus carnivoran1	Carnivore protoparvovirus 1
16ba34fd-5f94-e511-814c-000c2902c387	Protoparvovirus carnivoran1	RG1	3052707	Protoparvovirus carnivoran1	Feline panleukopenia virus
16ba34fd-5f94-e511-814c-000c2902c387	Protoparvovirus carnivoran1	RG1	3052707	Protoparvovirus carnivoran1	Mink enteritis virus
16ba34fd-5f94-e511-814c-000c2902c387	Protoparvovirus carnivoran1	RG1	3052707	Protoparvovirus carnivoran1	Raccoon parvovirus
180bc323-211e-e811-8116-0050568253d3	Avastrovirus galli	RG2	3426505	Avastrovirus galli	Avastrovirus galli
18372115-6094-e511-814c-000c2902c387	Deltapapillomavirus 3	RG1	56144	Deltapapillomavirus 3	Ovine papillomavirus
18372115-6094-e511-814c-000c2902c387	Deltapapillomavirus 3	RG1	56144	Deltapapillomavirus 3	Ovis aries papillomavirus 1
18372115-6094-e511-814c-000c2902c387	Deltapapillomavirus 3	RG1	56144	Deltapapillomavirus 3	Sheep papillomavirus
18e568ee-fae3-e711-8113-0050568253d3	Alphabaculovirus mavitratae	RG1	3048197	Alphabaculovirus mavitratae	Maruca vitrata nucleopolyhedrovirus
191f072d-6094-e511-814c-000c2902c387	Orthoflavivirus sepikense	RG3	3048316	Orthoflavivirus sepikense	Sepik virus
192a7fa9-5f94-e511-814c-000c2902c387	Metaavulavirus yucaipaense	RG1	173558	Yucaipa virus	Yucaipa virus
192a7fa9-5f94-e511-814c-000c2902c387	Metaavulavirus yucaipaense	RG1	2560313	avian paramyxovirus 2	Avian avulavirus 2
192a7fa9-5f94-e511-814c-000c2902c387	Metaavulavirus yucaipaense	RG1	3051368	Metaavulavirus yucaipaense	Avian paramyxovirus 2
193747eb-5f94-e511-814c-000c2902c387	Hapavirus kamese	RG2	1972616	Hapavirus kamese	Kamese hapavirus
193747eb-5f94-e511-814c-000c2902c387	Hapavirus kamese	RG2	1972616	Hapavirus kamese	Kamese virus
195575b5-5f94-e511-814c-000c2902c387	Orthobunyavirus bushbushense	RG2	3052382	Orthobunyavirus bushbushense	Bushbush orthobunyavirus
195575b5-5f94-e511-814c-000c2902c387	Orthobunyavirus bushbushense	RG2	3052382	Orthobunyavirus bushbushense	Bushbush virus
1a9d0fa5-fbe3-e711-8113-0050568253d3	Alphabaculovirus spexiguae	RG1	3051423	Alphabaculovirus spexiguae	Alphabaculovirus spexiguae
1a9d0fa5-fbe3-e711-8113-0050568253d3	Alphabaculovirus spexiguae	RG1	3051423	Alphabaculovirus spexiguae	Spodoptera exigua multiple nucleopolyhedrovirus A
1b50e233-07e1-e711-8113-0050568253d3	Alphabaculovirus agsegetum	RG1	3047354	Alphabaculovirus agsegetum	Agrotis segetum nucleopolyhedrovirus
1b50e233-07e1-e711-8113-0050568253d3	Alphabaculovirus agsegetum	RG1	3047354	Alphabaculovirus agsegetum	Agrotis segetum nucleopolyhedrovirus A
1c3a8ac3-60be-f011-8188-0050568253d3	Salmovirus salmonidallo2	RG1	3050352	Salmovirus salmonidallo2	Oncorhynchus masou virus
1c3a8ac3-60be-f011-8188-0050568253d3	Salmovirus salmonidallo2	RG1	3050352	Salmovirus salmonidallo2	Salmonid herpesvirus 2
1c5cf33e-6094-e511-814c-000c2902c387	Orthobunyavirus turlockense	RG2	3052452	Orthobunyavirus turlockense	Turlock orthobunyavirus
1c5cf33e-6094-e511-814c-000c2902c387	Orthobunyavirus turlockense	RG2	3052452	Orthobunyavirus turlockense	Turlock virus
1c957daf-5f94-e511-814c-000c2902c387	Lyssavirus bokeloh	RG3	1072176	Lyssavirus bokeloh	Bokeloh bat lyssavirus
1c965cd3-5f94-e511-814c-000c2902c387	Mammarenavirus guanaritoense	RG4	3052307	Mammarenavirus guanaritoense	Guanarito mammarenavirus
1c965cd3-5f94-e511-814c-000c2902c387	Mammarenavirus guanaritoense	RG4	3052307	Mammarenavirus guanaritoense	Guanarito virus
1d1f5fd9-5f94-e511-814c-000c2902c387	Alphavirus highlandsj	RG2	3426304	Alphavirus highlandsj	Alphavirus highlandsj
1d3547eb-5f94-e511-814c-000c2902c387	Orthobunyavirus jamestownense	RG2	3052402	Orthobunyavirus jamestownense	Inkoo virus
1d3547eb-5f94-e511-814c-000c2902c387	Orthobunyavirus jamestownense	RG2	3052402	Orthobunyavirus jamestownense	Jamestown Canyon orthobunyavirus
1d3547eb-5f94-e511-814c-000c2902c387	Orthobunyavirus jamestownense	RG2	3052402	Orthobunyavirus jamestownense	Jamestown Canyon virus
1dc56dbb-5f94-e511-814c-000c2902c387	Orbivirus alphamitchellense	RG2	3431237	Orbivirus alphamitchellense	Orbivirus alphamitchellense
1dcaeb44-6094-e511-814c-000c2902c387	Mammarenavirus whitewaterense	RG3	3052331	Mammarenavirus whitewaterense	Whitewater Arroyo mammarenavirus
1dcaeb44-6094-e511-814c-000c2902c387	Mammarenavirus whitewaterense	RG3	3052331	Mammarenavirus whitewaterense	Whitewater Arroyo virus
1dcaeb44-6094-e511-814c-000c2902c387	Mammarenavirus whitewaterense	RG3	3052331	Mammarenavirus whitewaterense	Whitewater Arroyo virus strain AV 9310135
1dfa56df-5f94-e511-814c-000c2902c387	Respirovirus laryngotracheitidis	RG2	3049952	Respirovirus laryngotracheitidis	Human parainfluenza virus 1
1dfa56df-5f94-e511-814c-000c2902c387	Respirovirus laryngotracheitidis	RG2	3049952	Respirovirus laryngotracheitidis	Human respirovirus 1
1e1e5fd9-5f94-e511-814c-000c2902c387	Paslahepevirus balayani	RG2	1678143	Paslahepevirus balayani	Hepatitis E virus
1e1e5fd9-5f94-e511-814c-000c2902c387	Paslahepevirus balayani	RG2	1678143	Paslahepevirus balayani	Orthohepevirus A
1e443bb9-02e4-e711-8113-0050568253d3	Betabaculovirus myunipunctae	RG1	3051999	Betabaculovirus myunipunctae	Mythimna unipuncta granulovirus A
1e443bb9-02e4-e711-8113-0050568253d3	Betabaculovirus myunipunctae	RG1	3051999	Betabaculovirus myunipunctae	Pseudalatia unipuncta granulovirus
1f4f0c27-6094-e511-814c-000c2902c387	Alpharetrovirus avirousar	RG2	3426270	Alpharetrovirus avirousar	Alpharetrovirus avirousar
1f5ef33e-6094-e511-814c-000c2902c387	Alphavirus venezuelan	RG3	3426322	Alphavirus venezuelan	Alphavirus venezuelan
1f94ff32-6094-e511-814c-000c2902c387	Starlingpox virus	RG1	2169714	Starlingpox virus	Starlingpox virus
205b4832-15c3-e811-8125-0050568253d3	Calbertado virus	RG1	537023	Calbertado virus	Calbertado virus
20cffc06-7918-ef11-8175-0050568253d3	Murine leukemia virus (B10 xenotropic virus 1)	RG1	11786	Murine leukemia virus	Murine leukemia virus (B10 xenotropic virus 1)
21afddf3-6f66-eb11-8148-0050568253d3	Orbivirus eubenangeense	RG2	3431245	Orbivirus eubenangeense	Ngoupe virus
21afddf3-6f66-eb11-8148-0050568253d3	Orbivirus eubenangeense	RG2	3431245	Orbivirus eubenangeense	Orbivirus eubenangeense
21b934fd-5f94-e511-814c-000c2902c387	Orthobunyavirus melajoense	RG2	3052420	Orthobunyavirus melajoense	Melao orthobunyavirus
21b934fd-5f94-e511-814c-000c2902c387	Orthobunyavirus melajoense	RG2	3052420	Orthobunyavirus melajoense	Melao virus
21e71e1b-2ab0-ef11-817c-0050568253d3	Alphainfluenzavirus influenzae H14N5	RG2	309433	H14N5 subtype	Alphainfluenzavirus influenzae H14N5
22863203-6094-e511-814c-000c2902c387	Orthopoxvirus monkeypox	RG3	3431483	Orthopoxvirus monkeypox	Mpox virus
22863203-6094-e511-814c-000c2902c387	Orthopoxvirus monkeypox	RG3	3431483	Orthopoxvirus monkeypox	Orthopoxvirus monkeypox
22863203-6094-e511-814c-000c2902c387	Orthopoxvirus monkeypox	RG3	3431483	Orthopoxvirus monkeypox	mpox
22c26dbb-5f94-e511-814c-000c2902c387	Cytomegalovirus cercopithecinebeta5	RG2	3050258	Cytomegalovirus cercopithecinebeta5	Cercopithecine betaherpesvirus 5
22c26dbb-5f94-e511-814c-000c2902c387	Cytomegalovirus cercopithecinebeta5	RG2	3050258	Cytomegalovirus cercopithecinebeta5	Cercopithecine herpesvirus 5
22decf8c-231e-e811-8116-0050568253d3	Metaavulavirus kunitachiense	RG1	3051371	Metaavulavirus kunitachiense	Avian avulavirus 5
22decf8c-231e-e811-8116-0050568253d3	Metaavulavirus kunitachiense	RG1	3051371	Metaavulavirus kunitachiense	Avian paramyxovirus 5
231150e5-5f94-e511-814c-000c2902c387	Alphainfluenzavirus influenzae H5N2	RG3	119220	H5N2 subtype	Alphainfluenzavirus influenzae H5N2
238982a3-5f94-e511-814c-000c2902c387	Orthoflavivirus apoiense	RG2	3047370	Orthoflavivirus apoiense	Apoi virus
241a1221-6094-e511-814c-000c2902c387	Ephemerovirus puchong	RG2	2845987	Ephemerovirus puchong	Puchong virus
242a7fa9-5f94-e511-814c-000c2902c387	Metapneumovirus avis	RG1	3047384	Metapneumovirus avis	Avian metapneumovirus
242a7fa9-5f94-e511-814c-000c2902c387	Metapneumovirus avis	RG1	3047384	Metapneumovirus avis	Avian pneumovirus
242a7fa9-5f94-e511-814c-000c2902c387	Metapneumovirus avis	RG1	3047384	Metapneumovirus avis	Turkey rhinotracheitis virus
247b181b-6094-e511-814c-000c2902c387	Orthoflavivirus phnompenhense	RG2	3048267	Orthoflavivirus phnompenhense	Phnom Penh bat virus
24e13cf7-5f94-e511-814c-000c2902c387	Orthobunyavirus madridense	RG2	3052413	Orthobunyavirus madridense	Madrid orthobunyavirus
24e13cf7-5f94-e511-814c-000c2902c387	Orthobunyavirus madridense	RG2	3052413	Orthobunyavirus madridense	Madrid virus
2539280f-6094-e511-814c-000c2902c387	Barthadenovirus ovis	RG2	3426638	Barthadenovirus ovis	Barthadenovirus ovis
25510c27-6094-e511-814c-000c2902c387	Alphavirus salmon	RG1	3426315	Alphavirus salmon	Alphavirus salmon
25510c27-6094-e511-814c-000c2902c387	Alphavirus salmon	RG1	3426315	Alphavirus salmon	Salmonid alphavirus
261050e5-5f94-e511-814c-000c2902c387	Avibirnavirus gumboroense	RG1	3048151	Avibirnavirus gumboroense	Gumboro disease
261050e5-5f94-e511-814c-000c2902c387	Avibirnavirus gumboroense	RG1	3048151	Avibirnavirus gumboroense	Infectious bursal disease virus
263276e3-2e69-e611-80fc-0050568253d3	Senecavirus valles	RG1	3241303	Senecavirus valles	Seneca Valley Virus
263276e3-2e69-e611-80fc-0050568253d3	Senecavirus valles	RG1	3241303	Senecavirus valles	Senecavirus A
263847eb-5f94-e511-814c-000c2902c387	Tupavirus klamath	RG2	1972588	Tupavirus klamath	Klamath tupavirus
263847eb-5f94-e511-814c-000c2902c387	Tupavirus klamath	RG2	1972588	Tupavirus klamath	Klamath virus
27c36dbb-5f94-e511-814c-000c2902c387	Mammarenavirus chapareense	RG4	3052302	Mammarenavirus chapareense	Chapare mammarenavirus
27c36dbb-5f94-e511-814c-000c2902c387	Mammarenavirus chapareense	RG4	3052302	Mammarenavirus chapareense	Chapare virus
27f856df-5f94-e511-814c-000c2902c387	Human coronavirus	RG2	694448	unidentified human coronavirus	Coronavirus excluding SARS-CoV
27f856df-5f94-e511-814c-000c2902c387	Human coronavirus	RG2	694448	unidentified human coronavirus	Human coronavirus
27f856df-5f94-e511-814c-000c2902c387	Human coronavirus	RG2	694448	unidentified human coronavirus	MERS-CoV
27f856df-5f94-e511-814c-000c2902c387	Human coronavirus	RG2	694448	unidentified human coronavirus	SARS-CoV-2
281c1221-6094-e511-814c-000c2902c387	Batravirus ranidallo1	RG1	3050346	Batravirus ranidallo1	Lucke frog herpesvirus
281c1221-6094-e511-814c-000c2902c387	Batravirus ranidallo1	RG1	3050346	Batravirus ranidallo1	Lucke tumor herpesvirus
281c1221-6094-e511-814c-000c2902c387	Batravirus ranidallo1	RG1	3050346	Batravirus ranidallo1	Ranid herpesvirus 1
284e0c27-6094-e511-814c-000c2902c387	Phlebovirus riftense	RG3	3052676	Phlebovirus riftense	Rift Valley fever virus
284e0c27-6094-e511-814c-000c2902c387	Phlebovirus riftense	RG3	3052676	Phlebovirus riftense	Zinga virus
288e6bc1-5f94-e511-814c-000c2902c387	Orthonairovirus haemorrhagiae	RG4	3052518	Orthonairovirus haemorrhagiae	Crimean-Congo hemorrhagic fever orthonairovirus
288e6bc1-5f94-e511-814c-000c2902c387	Orthonairovirus haemorrhagiae	RG4	3052518	Orthonairovirus haemorrhagiae	Crimean-Congo hemorrhagic fever virus
28b834fd-5f94-e511-814c-000c2902c387	Betaretrovirus maspfimon	RG1	3427294	Betaretrovirus maspfimon	Betaretrovirus maspfimon
29d18caf-b1e1-e711-8113-0050568253d3	Alphabaculovirus eupseudoconspersae	RG1	3047831	Alphabaculovirus eupseudoconspersae	Euproctis pseudoconspersa nucleopolyhedrovirus
29f969c7-5f94-e511-814c-000c2902c387	Varicellovirus equidalpha3	RG1	3050277	Varicellovirus equidalpha3	Equid alphaherpesvirus 3
29f969c7-5f94-e511-814c-000c2902c387	Varicellovirus equidalpha3	RG1	3050277	Varicellovirus equidalpha3	Equid herpesvirus Type 3
29f969c7-5f94-e511-814c-000c2902c387	Varicellovirus equidalpha3	RG1	3050277	Varicellovirus equidalpha3	Equine coital exanthema virus
29f969c7-5f94-e511-814c-000c2902c387	Varicellovirus equidalpha3	RG1	3050277	Varicellovirus equidalpha3	Equine herpesvirus 3
2a1891ab-d664-eb11-8148-0050568253d3	Sapovirus sapporoense	RG2	3432266	Sapovirus sapporoense	Sapovirus sapporoense
2a883203-6094-e511-814c-000c2902c387	Muromegalovirus muridbeta1	RG1	3050323	Muromegalovirus muridbeta1	Murid betaherpesvirus 1
2a883203-6094-e511-814c-000c2902c387	Muromegalovirus muridbeta1	RG1	3050323	Muromegalovirus muridbeta1	Murine cytomegalovirus
2a883203-6094-e511-814c-000c2902c387	Muromegalovirus muridbeta1	RG1	3050323	Muromegalovirus muridbeta1	Murine herpesvirus 1
2ac9eb44-6094-e511-814c-000c2902c387	Wesselsbrons virus	RG3	3048447	Orthoflavivirus wesselsbronense	Wesselsbrons virus
2b1a89b3-9fe1-e711-8113-0050568253d3	Alphabaculovirus ecobliquae	RG1	3047815	Alphabaculovirus ecobliquae	Ecotropis obliqua nucleopolyhedrovirus
2b1a89b3-9fe1-e711-8113-0050568253d3	Alphabaculovirus ecobliquae	RG1	3047815	Alphabaculovirus ecobliquae	Ectropis obliqua nucleopolyhedrovirus
2b3647eb-5f94-e511-814c-000c2902c387	Orthoflavivirus jugraense	RG2	3048162	Orthoflavivirus jugraense	Jugra virus
2bb2e18f-ffe3-e711-8113-0050568253d3	Betabaculovirus alterclanastomosis	RG1	3047764	Betabaculovirus alterclanastomosis	Clostera anastomosis granulovirus B
2bcbeb44-6094-e511-814c-000c2902c387	Orthoflavivirus yaoundeense	RG3	3052469	Orthoflavivirus yaoundeense	Yaounde virus
2be03cf7-5f94-e511-814c-000c2902c387	Mammarenavirus choriomeningitidis	RG3	3052303	Mammarenavirus choriomeningitidis	Lymphocytic choriomeningitis mammarenavirus
2be03cf7-5f94-e511-814c-000c2902c387	Mammarenavirus choriomeningitidis	RG3	3052303	Mammarenavirus choriomeningitidis	Lymphocytic choriomeningitis virus
2c2b7fa9-5f94-e511-814c-000c2902c387	Bauline virus	RG2	3459226	Bauline virus	Bauline virus
2caa6e61-34bf-e711-810f-0050568253d3	Rhadinovirus atelinegamma2	RG2	3050139	Rhadinovirus atelinegamma2	Ateline gammaherpesvirus 2
2d1d072d-6094-e511-814c-000c2902c387	Orthoflavivirus perlitaense	RG3	3048312	Orthoflavivirus perlitaense	San Perlita virus
2d37280f-6094-e511-814c-000c2902c387	Orthoflavivirus omskense	RG4	3048233	Orthoflavivirus omskense	Omsk hemorrhagic fever virus
2d37280f-6094-e511-814c-000c2902c387	Orthoflavivirus omskense	RG4	3048233	Orthoflavivirus omskense	Omsk virus
2d500c27-6094-e511-814c-000c2902c387	Simplexvirus saimiriinealpha1	RG2	3050348	Simplexvirus saimiriinealpha1	Saimiriine alphaherpesvirus 1
